Total Cases That Were Reinfections,Molecular (PCR) Positive Cases by Specimen Date,Date,Positive Test Percentage,Daily Tests Total,Antigen Test,Molecular Test,Cases by Report Date,Deaths by Date of Death,Antigen Positive Cases by Specimen Date
0,239,2020-04-01,0.075298126064736,3435,,,86,9,0
0,203,2020-04-03,0.0808219178082192,3404,,,236,11,0
0,86,2020-04-05,0.0819293029402049,1343,,,183,9,0
0,317,2020-04-10,0.0843672456575682,10211,,,257,7,0
0,139,2020-04-18,0.139646869983949,3600,,,281,19,0
0,121,2020-04-19,0.128712871287129,2592,,,353,15,0
0,559,2020-04-27,0.11096884336321,2134,,,312,15,0
1,451,2020-05-01,0.0703693717983284,5490,,,414,17,0
0,182,2020-05-02,0.0775573305849008,5961,,,586,13,1
0,173,2020-05-03,0.0634762379528082,5202,,,155,19,0
0,705,2020-05-15,0.0699912510936133,13923,,,622,8,0
0,1064,2020-05-18,0.0559454191033139,8397,,,511,12,0
0,836,2020-05-20,0.0730786825251601,12313,,,423,15,0
0,340,2020-05-23,0.087556880589989,9046,,,1107,22,0
0,1015,2020-05-28,0.0904458598726115,10116,,,784,19,0
0,1507,2020-06-01,0.0781786941580756,4552,,,674,17,0
0,1265,2020-06-02,0.0779756733275413,12313,,,626,21,1
0,1436,2020-06-03,0.0894006095496106,12966,,,888,19,0
0,1428,2020-06-11,0.0984535395280629,19471,,,1310,12,1
0,1434,2020-06-12,0.0928839994429745,22126,,,1768,12,0
0,1690,2020-06-15,0.0905449864111,12694,,,983,8,0
0,1766,2020-06-18,0.085858286391936,21412,,,1335,16,3
0,1611,2020-06-19,0.0964216841654168,24377,,,1655,17,5
0,2083,2020-06-23,0.0827591316588872,15713,,,854,18,5
0,2293,2020-06-30,0.0959703075291623,18461,,,1196,22,15
0,2058,2020-07-01,0.0833620195065978,21911,,,1862,11,11
0,1343,2020-07-03,0.0916863395648568,20409,,,2102,12,9
1,2519,2020-07-06,0.0919648194005636,17129,,,1563,19,28
0,2156,2020-07-09,0.0933592949374872,23660,,,2059,12,22
0,2461,2020-07-13,0.0960558794180978,18874,,,1846,13,32
0,2450,2020-07-14,0.0779989743111567,23193,,,1991,25,47
0,703,2020-07-26,0.0764672146817052,25642,,,1645,21,16
0,2110,2020-07-27,0.071763467610755,18738,,,1685,32,64
0,1706,2020-07-31,0.0665846658466585,23947,,,2018,30,46
0,1718,2020-08-10,0.0633751984986286,17137,,,512,33,72
0,1470,2020-08-11,0.0616080751827358,15704,,,1131,29,98
0,1767,2020-08-21,0.0626679605852493,25761,,,2075,27,81
0,2178,2020-08-24,0.0791100954429359,13120,,,1389,23,137
0,1742,2020-08-26,0.0704263265924156,31132,,,1342,22,78
0,631,2020-08-30,0.0655552415936705,25044,,,1952,25,23
0,715,2020-09-07,0.0701965159186476,15250,,,1039,32,37
0,1253,2020-09-11,0.0498364576372525,38681,,,1610,28,82
0,1405,2020-09-16,0.0473719186101706,28506,,,1234,37,86
0,663,2020-09-19,0.0527852548017702,27403,,,1239,18,30
0,2096,2020-09-28,0.0669663214122858,13901,112,13789,868,32,287
0,1797,2020-09-29,0.0581254418745581,14220,545,13675,889,32,182
0,1819,2020-10-02,0.0608005404492485,36043,617,35426,1775,19,166
0,2059,2020-10-06,0.0564914264179386,17803,915,16888,1504,26,229
0,929,2020-10-10,0.0564699400867709,37229,1009,36220,2321,28,90
0,893,2020-10-11,0.0707910440148926,32579,339,32240,1719,22,72
0,938,2020-10-17,0.0588255319148936,34489,875,33614,2102,35,105
0,2463,2020-10-21,0.0592346005285627,36482,1744,34738,1842,35,224
0,905,2020-10-25,0.0757151100486357,30512,483,30029,1807,33,90
0,2974,2020-10-26,0.0698683906719003,25467,417,25050,1643,30,324
0,2442,2020-10-28,0.0596254177385618,38860,2191,36669,2253,50,263
0,1489,2020-11-07,0.0657922381967164,40426,2198,38228,2676,32,140
0,3443,2020-11-19,0.0718764777236374,54087,4152,49935,4296,37,464
0,3336,2020-11-20,0.068577430972389,58737,5398,53339,3688,46,420
0,3381,2020-11-27,0.0860732868371527,41765,1357,40408,3834,44,492
0,2657,2020-11-28,0.0901496074655607,42472,3310,39162,3444,48,377
0,5479,2020-12-03,0.0992692924612368,60697,7997,52700,5637,44,695
0,5251,2020-12-04,0.101932143458495,63958,7477,56481,5303,49,800
0,7217,2020-12-07,0.12192856763785,39962,1838,38124,4372,49,1120
0,5697,2020-12-09,0.0985950048250707,59572,7213,52359,6495,67,882
1,5798,2020-12-18,0.106686384282244,78747,8854,69893,8444,73,1052
0,730,2020-12-25,0.110454863540938,58558,5312,53246,6345,74,222
0,8839,2020-12-30,0.132948967666537,66310,7288,59022,8551,94,1666
0,2688,2021-01-01,0.138720523318314,75770,9527,66243,9527,116,666
2,5430,2021-01-02,0.163926673899135,48251,3090,45161,9365,82,1238
0,12409,2021-01-04,0.170437546746447,28109,3568,24541,5187,129,2529
3,7713,2021-01-07,0.147433733584093,81827,8091,73736,10398,101,1571
0,6103,2021-01-08,0.132849932920207,78973,13156,65817,10028,95,1215
0,6258,2021-01-14,0.1137100880064,77693,7516,70177,9853,101,1220
0,6177,2021-01-19,0.10157019642534,48453,10511,37942,4058,124,1300
0,4912,2021-01-22,0.104069257744009,69102,12999,56103,7436,92,1062
0,4494,2021-01-27,0.0842778001762009,71282,8798,62484,5587,111,915
0,1593,2021-01-31,0.103672486453943,47915,2620,45295,4899,85,525
0,3260,2021-02-05,0.0742629171937336,65537,10929,54608,5547,56,698
1,1841,2021-02-06,0.0827067669172932,60174,7172,53002,4172,54,441
0,2885,2021-02-10,0.0617249351923212,64243,8246,55997,3833,62,656
0,2250,2021-02-17,0.0575256465664309,56428,9116,47312,3167,42,605
0,963,2021-02-21,0.0674502802162377,38605,2819,35786,2541,38,318
0,2443,2021-02-22,0.0624485427301169,23098,2312,20786,2133,28,719
0,907,2021-02-27,0.0562979417583562,45458,7052,38406,2643,21,253
0,1401,2021-03-03,0.042714272361903,54387,8485,45902,2145,21,454
