county,objectid,county_fips,geoid,total_vax,new_vax,total_population,percent_total,pop_18_up,pop_16_up,update_dts
Alamance,856,1,37001021101,686,686,2718,30.6523681858803,2169,2238,2021-04-29
Alamance,879,1,37001020602,1047,1047,2638,46.7619472979008,2194,2239,2021-04-29
Alamance,880,1,37001021701,1672,1672,3432,55.5851063829787,2932,3008,2021-04-29
Alamance,881,1,37001021207,880,880,3476,33.6648814078041,2556,2614,2021-04-29
Alamance,896,1,37001020400,1247,1247,6746,25.6848609680742,4627,4855,2021-04-29
Alamance,897,1,37001021300,1585,1585,6018,31.6304130911994,4857,5011,2021-04-29
Alamance,935,1,37001020300,1690,1690,7400,29.7902344438569,5398,5673,2021-04-29
Alamance,938,1,37001020901,975,975,3406,37.8200155159038,2526,2578,2021-04-29
Alamance,939,1,37001020502,766,766,4012,25.713326619671,2807,2979,2021-04-29
Alamance,940,1,37001020701,1650,1650,4973,38.515406162465,4152,4284,2021-04-29
Alamance,958,1,37001021500,1082,1082,4760,28.8379530916844,3593,3752,2021-04-29
Alamance,959,1,37001020501,1095,1095,3819,36.5487316421896,2931,2996,2021-04-29
Alamance,961,1,37001021102,812,812,3369,30.3098170959313,2634,2679,2021-04-29
Alamance,973,1,37001021400,710,710,2748,30.8026030368764,2281,2305,2021-04-29
Alamance,974,1,37001021000,727,727,3999,25.3486750348675,2769,2868,2021-04-29
Alamance,1062,1,37001021204,1229,1229,4976,31.7817429531937,3777,3867,2021-04-29
Alamance,1063,1,37001021201,1004,1004,5565,22.745808790213,4266,4414,2021-04-29
Alamance,1064,1,37001020200,784,784,4093,25.64605822702,2902,3057,2021-04-29
Alamance,1068,1,37001021703,2139,2139,6408,40.4500756429652,5253,5288,2021-04-29
Alamance,1069,1,37001020601,1521,1521,3113,57.5264750378215,2567,2644,2021-04-29
Alamance,1070,1,37001021702,1918,1918,6911,31.3398692810458,5968,6120,2021-04-29
Alamance,1076,1,37001020902,1232,1232,3459,43.5028248587571,2740,2832,2021-04-29
Alamance,1077,1,37001021901,1033,1033,4819,25.8120939530235,3797,4002,2021-04-29
Alamance,1078,1,37001021803,528,528,3246,19.6501674730182,2609,2687,2021-04-29
Alamance,1079,1,37001021205,1692,1692,6830,31.3856427378965,5185,5391,2021-04-29
Alamance,1080,1,37001021902,1026,1026,4139,29.9474605954466,3290,3426,2021-04-29
Alamance,1164,1,37001021600,1992,1992,7553,30.4261493813961,6434,6547,2021-04-29
Alamance,1165,1,37001020100,1258,1258,4058,38.9835760768516,3170,3227,2021-04-29
Alamance,1167,1,37001020802,1048,1048,5915,23.1193470108096,4412,4533,2021-04-29
Alamance,1172,1,37001020702,1000,1000,4941,25.4582484725051,3886,3928,2021-04-29
Alamance,1173,1,37001022001,895,895,4044,27.3449434769325,3121,3273,2021-04-29
Alamance,1174,1,37001022002,1036,1036,4449,28.9304663501815,3476,3581,2021-04-29
Alamance,1175,1,37001021206,1210,1210,5029,32.5356278569508,3507,3719,2021-04-29
